"category","result.status","protectionPolicy.name","result.error.code","host.name","asset.name","inventorySource.type","result.error.reason","result.error.extendedReason","result.error.detailedDescription","result.error.remediation"
"CLOUD_TIER","FAILED","MSSQL - Standard","ACT0011","vmprddbs32a.rsvgnw.local","SSISDB","","MSSQL - Standard: Cloud tier job was unsuccessful for MICROSOFT_SQL_DATABASE SSISDB on dcm4-200-dd02.rsvgnw.local to n/a because one or more files from the copy created at 2024-07-06T20:02:32Z cannot be detected.","file: PLCTLP-26398496-58d3-4683-841e-443283349df4/vmprddbs32a.rsvgnw.local/14/2.0/data_ss/MSSQL2%24INSTANCE1%3aSSISDB/FULL/_ts10k_172029/1720296151.ss was not found on storageUnitName: MSSQL-noCRS-DR","The backup copy cannot be cloud tiered because PowerProtect Data Manager is unable to locate one or more files from the copy on the storage system. These files might have been modified or deleted from the copy.","Follow the procedure in the PowerProtect Data Manager Administration and User Guide to create a log bundle, and then contact Dell Customer Support."
"CLOUD_TIER","FAILED","MSSQL - Standard","ACT0011","","SSISDB","","MSSQL - Standard: Cloud tier job was unsuccessful for MICROSOFT_SQL_DATABASE SSISDB on dcm4-200-dd02.rsvgnw.local to n/a because one or more files from the copy created at 2024-07-06T20:02:32Z cannot be detected.","file: PLCTLP-26398496-58d3-4683-841e-443283349df4/vmprddbs32a.rsvgnw.local/14/2.0/data_ss/MSSQL2%24INSTANCE1%3aSSISDB/FULL/_ts10k_172029/1720296151.ss was not found on storageUnitName: MSSQL-noCRS-DR","The backup copy cannot be cloud tiered because PowerProtect Data Manager is unable to locate one or more files from the copy on the storage system. These files might have been modified or deleted from the copy.","Follow the procedure in the PowerProtect Data Manager Administration and User Guide to create a log bundle, and then contact Dell Customer Support."
"PROTECT","FAILED","FS - FileSystem - 7 Days - Daily - Index","ABA0001","VMPRDQCA05A.rsvgnw.local","D:\\","","FS - FileSystem - 7 Days - Daily - Index: Unable to backup FILE_SYSTEM asset D:\\ on host VMPRDQCA05A.rsvgnw.local to storage target FS-noCRS.","VMPRDQCA05A.rsvgnw.local: The protection policy backup was unsuccessful because the preferred node cannot be located for the following assets : D:\\.","The protection policy backup was unsuccessful.","Contact Dell Customer Support."
"PROTECT","FAILED","FS - FileSystem - 7 Days - Daily - Index","ABA0001","VMPRDQCA06A.rsvgnw.local","D:\\","","FS - FileSystem - 7 Days - Daily - Index: Unable to backup FILE_SYSTEM asset D:\\ on host VMPRDQCA06A.rsvgnw.local to storage target FS-noCRS.","VMPRDQCA06A.rsvgnw.local: The protection policy backup was unsuccessful because the preferred node cannot be located for the following assets : D:\\.","The protection policy backup was unsuccessful.","Contact Dell Customer Support."
"PROTECT","FAILED","FS - FileSystem - 7 Days - Daily - Index","ABA0002","VMPRDFS12.rsvgnw.local","C:\\","","FS - FileSystem - 7 Days - Daily - Index: Unable to backup FILE_SYSTEM asset C:\\ on host VMPRDFS12.rsvgnw.local to storage target FS-noCRS because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: AppBackupAssetsOp: Backup failed with error Process C:\\Program Files\\DPSAPPS\\fsagent\\bin\\ddfscon failed with error code 1, stdout data: , stderr data: ...","The protection policy backup was unsuccessful because of an agent issue.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","CANCELED","FS - Opale-Prod-Aisave","AERR0010","opale-prod-db.rsvgnw.local","/ordi/hop/data/aisave","","Task 'Protecting File System - /ordi/hop/data/aisave - opale-prod-db.rsvgnw.local' was canceled because an identical task was still queued.","","Task was canceled because an identical task was still under queued state.","To troubleshoot this issue: 1) Review the log files to determine why the previous task is still in queued state. 2) Wait for the previous task to complete, and then retry the operation. If the issue persists, contact Dell Customer Support."
"PROTECT","SKIPPED","MSSQL - CMS","ABS0003","vmcmsdbs07.emscms.local","CTXCMSMonitoring","","Transaction log backup of CTXCMSMonitoring is skipped from backup on vrcmsdbsi01.emscms.local \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database CTXCMSMonitoring to full on the SQL host vrcmsdbsi01.emscms.local. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - CMS","ABS0003","vmcmsdbs07.emscms.local","CTXCMSSite","","Transaction log backup of CTXCMSSite is skipped from backup on vrcmsdbsi01.emscms.local \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database CTXCMSSite to full on the SQL host vrcmsdbsi01.emscms.local. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - CMS","ABS0003","vmcmsdbs07.emscms.local","CitrixCMSLogging","","Transaction log backup of CitrixCMSLogging is skipped from backup on vrcmsdbsi01.emscms.local \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database CitrixCMSLogging to full on the SQL host vrcmsdbsi01.emscms.local. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - CRS","ABS0003","vmprddbs30a.rsvgnw.local","SP_Service_Usage","","Transaction log backup of SP_Service_Usage is skipped from backup on vmprddbs30a.rsvgnw.local \\ INSTANCE3.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database SP_Service_Usage to full on the SQL host vmprddbs30a.rsvgnw.local. Steps: 1. After connecting to the instance INSTANCE3 of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
